Title,Author,Description,Theme,Genre
The Black Ice,Michael Connelly,"The Black Ice is the second novel by American crime author Michael Connelly, featuring the Los Angeles detective Hieronymus ""Harry"" Bosch.",Espionage Thriller,Action & Psychological Thrillers
The Shining,Stephen King,"A summer resort comes chillingly to life in the off-season when the Torrances arrive to take over as winter caretakers. Young Danny has the gift of precognition, ""The Shine"", and the horrible things he sees are only the beginning of the family's nightmare",Relationships and Family Dynamics,Romance & Relationships
Confessions of an Ugly Stepsister,Gregory Maguire,"Confessions of an Ugly Stepsister is a 1999 fantasy novel by American writer Gregory Maguire, retelling the tale of Cinderella through the eyes of one of her ""ugly stepsisters."" In 2002, the book was adapted into a TV movie of the same name directed by Gavin Millar.",Arthurian Legends and Magic,Fantasy Literature
"Wake Up, I'm Fat!",Camryn Manheim,"In a humorous autobiography, the Emmy Award-winning actress shares her observations on the trials and tribulations of being overweight, and chronicles her journey from childhood to Hollywood success.",Relationships and Family Dynamics,Romance & Relationships
The Cat Who Turned on and Off (Cat Who... (Paperback)),Lilian Jackson Braun,The Cat Who Turned On and Off is the third novel in a series of murder mystery novels by Lilian Jackson Braun.,Cozy Mysteries,Action & Psychological Thrillers
Chocolat,Joanne Harris,An exotic stranger arrives in the French village of Lansquenet and opens a chocolate boutique directly opposite the church. The priest is a firm believer in the virtues of self-denial and austerity.,Relationships and Family Dynamics,Romance & Relationships
The Book of Bunny Suicides,Andy Riley,The Book of Bunny Suicides: Little Fluffy Rabbits Who Just Don't Want to Live Any More (2003) is a bestselling collection of mostly one-image black comedy cartoons drawn by author Andy Riley.,Humor and Satire,Humor & Satire
The Lion's Lady,Julie Garwood,"Christina Bennett had taken London society by storm. The ravishing beauty guarded the secret of her mysterious past until the night Lyon, Marquis of Lyonwood, stole a searching, sensuous kiss. An arrogant nobleman with a pirate's passions, he tasted the wild fire smoldering beneath Christina's cool charm and swore to possess her...,But the feisty and defiant Christina would not be so easily conquered. Mistress of her heart and of her fortune, she resisted Lyon's sensuous caresses. She dared not surrender to his love...for then, she must also forsake her precious secret...and her promised destiny!",Relationships and Family Dynamics,Romance & Relationships
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,"The modern fantasy classic that Entertainment Weekly named an “All-Time Greatest Novel” and Newsweek hailed as a “Top 100 Book of All Time.” Philip Pullman takes readers to a world where humans have animal familiars and where parallel universes are within reach. Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world. Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want. But what Lyra doesn't know is that to help one of them will be to betray the other... A masterwork of storytelling and suspense, Philip Pullman's award-winning The Golden Compass is the first in the His Dark Materials series, which continues with The Subtle Knife and The Amber Spyglass. A #1 New York Times Bestseller Winner of the Guardian Prize for Children's Fiction Published in 40 Countries ""Arguably the best juvenile fantasy novel of the past twenty years."" —The Washington Post ""Very grand indeed."" —The New York Times ""Pullman is quite possibly a genius."" —Newsweek Don't miss Philip Pullman's epic new trilogy set in the world of His Dark Materials! ** THE BOOK OF DUST ** La Belle Sauvage The Secret Commonwealth",Epic Fantasy,Fantasy Literature
Eaters of the Dead,MICHAEL CRICHTON,"An ambassador of the tenth-century Caliph of Bagdad is carried off by the Norsemen to endure, for three years, the harshness of their way of life and the creatures that terrorize them.",Apocalyptic Fiction,Science Fiction
The Wishsong of Shannara,Terry Brooks,"Horror stalks the Four Lands. The Ildatch, immemorial book of evil spells, has stirred to eldritch life, sending its foul Mord Wraiths to accomplish at last Mankind's destruction. Once again Allanon, ancient Druid Protector of the Races, must seek the help of a descendant of Jerle Shannara. Brin, daughter of Wil Ohmsford, born with the magic of the Wishsong which alone can open a way to the Ildatch, reluctantly joins him on his perilous journey east; meanwhile her younger brother Jair learns that Brin will fail and die, unless he can reach her in time. And as Brin walks into the trap the Ildatch has set, Jair must travel through the very heart of evil to reach her...",Gothic Vampire Fiction,Fantasy Literature
Time Enough for Love,Robert A. Heinlein,Follows Lazarus Long through a vast and magnificent timescape of centuries and worlds. and a man so in love with Life that he refused to stop living it; and so in love with Time that he became is own ancestor.--,Spiritual & Mindfulness,Spiritual & Mindfulness
The Great Santini,Pat Conroy,"The piercing, iconic semi-autobiographical novel of a domineering father and ambitious son, from the #1 New York Times bestselling author of The Prince of Tides Step into the powerhouse life of Bull Meecham. He’s all Marine—fighter pilot, king of the clouds, and absolute ruler of his family. Lillian is his wife—beautiful, southern-bred, with a core of velvet steel. Without her cool head, her kids would be in real trouble. Ben is the oldest, a born athlete whose best never satisfies the big man. Ben’s got to stand up, even fight back, against a father who doesn’t give in—not to his men, not to his wife, and certainly not to his son. Bull Meecham is undoubtedly Pat Conroy’s most explosive character—a man you should hate, but a man you will love. Praise for The Great Santini “Stinging authenticity . . . a book that won’t quit.”—The Atlanta Journal “[Pat] Conroy has captured a different slice of America in this funny, dramatic novel.”—Richmond News-Leader “Conroy takes aim at our darkest emotions, lets the arrow fly and hits the bull’s-eye almost every time.”—Milwaukee Journal Sentinel “Robust and vivid . . . full of feeling.”—Newsday “God preserve Pat Conroy.”—The Boston Globe",Epic Fantasy,Fantasy Literature
Three Fates,Nora Roberts,"From #1 New York Times bestselling author Nora Roberts comes an unforgettable tale of luck and love in which the fortunes of three siblings depend on a simple twist of fate. When the RMS Lusitania sank in 1915, one survivor became a changed man, giving up his life as a petty thief. But the man still kept the small silver statue he lifted, saving it as a reminder of his past and a family heirloom for future generations. A century later, that priceless heirloom—one of a long-separated set of three—has been stolen again. Malachi, Gideon, and Rebecca Sullivan are determined to recover their great-great-grandfather’s treasure, reunite the Three Fates, and make their fortune. Their quest will take them from their home in Ireland to Helsinki, Prague, and New York, where they will meet a brilliant scholar who will aid them in their hunt—and an ambitious woman who will stop at nothing to acquire the Fates....",Historical Time-Travel Romance,Romance & Relationships
Walking Shadow,Robert B. Parker,Walking Shadow is the 21st Spenser novel by Robert B. Parker.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
Small Vices,Robert B. Parker,"Ellis Alves is no angel. But his lawyer says he was framed for the murder of college student Melissa Henderson...and asks Spenser for help. From Boston's back streets to Manhattan's elite, Spenser and Hawk search for suspects, including Melissa's rich-kid, tennis-star boyfriend. But when a man with a .22 puts Spenser in a coma, the hope for justice may die with him...",Crime Thrillers and Detective Drama,Crime & Detective Fiction
A Long Fatal Love Chase,Louisa May Alcott,"A Long Fatal Love Chase is a 1866 novel by Louisa May Alcott published posthumously in 1995. Two years before the publication of Little Women, Alcott uncharacteristically experimented with the style of the thriller and submitted the result, A Long Fatal Love Chase, to her publisher. The manuscript was rejected, and it remained unpublished before being bought, restored and published to acclaim in 1995.",Murder Mystery,Crime & Detective Fiction
If Only It Were True,Marc Levy,"Arthur is the only man who can share Lauren's secret, the only one who can see her, hear her, and talk to her when no one else so much as senses her presence. So when doctors prepare to end Lauren's physical care -- which would destroy the magical bond she and Arthur cherish -- he must find a way to save her. For, after all, it is only her love that can save him.",Relationships and Family Dynamics,Romance & Relationships
Midnight Voices,JOHN SAUL,"The sudden, tragic death of her husband leaves Caroline Evans alone in New York City to raise her children with little money and even less hope. When she meets and marries handsome, successful Anthony Fleming, the charismatic man of her dreams, she believes her life is destined for happiness. She and her children move into her new husband’s spacious apartment in the legendary Rockwell on Central Park West. Despite her son’s instinctive misgivings about the building and its residents, Caroline dismisses the odd behavior of her neighbors as pleasant eccentricities. But after her daughter begins to experience horrifying nightmares and a startling secret emerges, Caroline realizes that the magnificence of her new home masks a secret of unimaginable horror. . . .",Relationships and Family Dynamics,Romance & Relationships
Summer Island,KRISTIN HANNAH,"Talk-show host Nora Bridge insists that her estranged daughter Ruby, a struggling comedienne, come to her childhood home in the San Juan islands while Nora convalesces. Ruby has her own agenda, including writing a tell-all biography of her famous mother.",Holiday Classics,Holiday Stories
"The Ghost Next Door (Goosebumps, No 10)",R. L. Stine,"Goosebumps is a series of children's horror novels written by American author R. L. Stine. The protagonists in these stories are teens or pre-teens who find themselves in frightening circumstances, often involving the supernatural, the paranormal or the occult. Between 1992 and 1997, sixty-two books were published under the Goosebumps umbrella title.  R. L. Stine also wrote various spin-off series, including, Goosebumps Series 2000, Give Yourself Goosebumps, Tales to Give You Goosebumps, Goosebumps Triple Header, Goosebumps HorrorLand, Goosebumps Most Wanted and Goosebumps SlappyWorld. Additionally, there was a series called Goosebumps Gold that was never released.
Goosebumps has spawned a pair of television series, a video games series, a comic series and merchandise, as well as a pair of feature films, which star Jack Black as a fictionalized version of Stine.
The series was originally published in English by Scholastic Press in the United States and Scholastic Hippo in the United Kingdom. Spanning various genres, including horror, comedy, fantasy, adventure, supernatural fiction, thriller and mystery, the world of Goosebumps explores a multitude of themes.
Since the release of its first novel, Welcome to Dead House, in July 1992, the books have achieved immense popularity, garnered positive reviews, and achieved commercial success worldwide.  They have captivated a diverse audience, including children and older readers, and have sold over 400 million copies globally in 35 languages as of October 2022, becoming the second-best-selling book series in history (behind Harry Potter). At one point, the series held the distinction of being the best-selling book series of all time, selling over 4 million books a month during its prime. Individual books in the series have been listed in several bestseller lists, including the New York Times Best Seller list for children.",Epic Fantasy,Fantasy Literature
Perdido Street Station,China Mieville,"WINNER OF THE AUGUST DERLETH AND ARTHUR C. CLARKE AWARDS • A masterpiece brimming with scientific splendor, magical intrigue, and fierce characters, from the author who “has reshaped modern fantasy” (The Washington Post) “[China Miéville’s] fantasy novels, including a trilogy set in and around the magical city-state of New Crobuzon, have the refreshing effect of making Middle-earth seem plodding and flat.”—The New York Times The metropolis of New Crobuzon sprawls at the center of the world. Humans and mutants and arcane races brood in the gloom beneath its chimneys, where the river is sluggish with unnatural effluent and foundries pound into the night. For a thousand years, the Parliament and its brutal militias have ruled over a vast economy of workers and artists, spies and soldiers, magicians, crooks, and junkies. Now a stranger has arrived, with a pocketful of gold and an impossible demand. And something unthinkable is released. The city is gripped by an alien terror. The fate of millions lies with a clutch of renegades. A reckoning is due at the city’s heart, in the vast edifice of brick and wood and steel under the vaults of Perdido Street Station. It is too late to escape.",Epic Fantasy,Fantasy Literature
The Plague,Albert Camus,"A haunting tale of human resilience in the face of unrelieved horror, Camus' novel about a bubonic plague ravaging the people of a North African coastal town is a classic of twentieth-century literature.",Spiritual & Mindfulness,Spiritual & Mindfulness
Strangers,Dean R. Koontz,"“The plot twists ingeniously...an engaging, often chilling book.”—The New York Times Book Review A writer in California. A doctor in Boston. A motel owner and his employee in Nevada. A priest in Chicago. A robber in New York. A little girl in Las Vegas. They’re a handful of people from across the country, living through eerie variations of the same nightmare. A dark memory is calling out to them. And soon they will be drawn together, deep in the heart of a sprawling desert, where the terrifying truth awaits...",Gothic Vampire Fiction,Fantasy Literature
The Bad Place,Dean R. Koontz,"The Bad Place is a horror novel by American writer Dean Koontz, released in 1990. It includes elements of horror, suspense, and mystery, and is presented partially as a twist on the private eye drama.",Gothic Vampire Fiction,Fantasy Literature
Punish the Sinners,John Saul,"Italy 1252. Inquisition. Accusation. Fear. Torture. The guilty and the innocent dying for sins real and imagined in the flames of the burning stake. Neilsville, 1978. Peter Blasam has come to this sleepy desert town to teach its youth, and finds a mystery of mounting horror. Something is happening to the young girls of St. Francis Xavier High School -- something evil. In bloodlet and terror a suicide contagion has swept the two... while a dark order of its holy men enacts a secret medieval ritual. Is hysteria manipulating these innocent children into violent self-destruction? Or has supernatural force, a thirteenth-century madness, returned to... Punish The Sinners.",Psychological Thriller,Action & Psychological Thrillers
Second Child,John Saul,"The serene existence of the inhabitants of picture-perfect Secret Cove is shattered by the one-hundred-year anniversary of a young woman's unspeakable act, and young Melissa Holloway becomes the unwilling receptacle for this legacy of evil",Relationships and Family Dynamics,Romance & Relationships
Hollywood Kids,Jackie Collins,"Jordanna Levitt, the wild daughter of a Hollywood producer; Bobby Rush, the actor son of a screen legend; and their friends live in high style, until a murder brings tough detective Michael Scorsinni into town",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Summer of My German Soldier,Bette Greene,"When German prisoners of war are brought to her Arkansas town during World War II, twelve-year-old Patty, a Jewish girl, befriends one of them and must deal with the consequences of that friendship.",War & Historical Drama,War & Historical Drama
The Mothman Prophecies,John A. Keel,"A journalist recounts his investigation of a bizarre winged apparition, mysterious lights in the sky, mutilation deaths of domestic animals, and other eerie and unexplained events in Point Pleasant, West Virginia.",Medical Thrillers,Action & Psychological Thrillers
The Cat Who Sang for the Birds,Lilian Jackson Braun,"The Cat Who...  is a series of twenty-nine mystery novels and three related collections by Lilian Jackson Braun and published by G. P. Putnam's Sons, featuring a reporter named Jim Qwilleran and his Siamese cats, Kao K'o-Kung (Koko for short) and Yum Yum. The first was written in 1966, with two more following in 1967 and 1968. The fourth appeared eighteen years later, after which at least one new novel was published every year until 2007. A thirtieth novel, originally announced for 2008, was postponed indefinitely by its publisher and then canceled after the author's death in 2011. It remains unpublished.",Cozy Mysteries,Action & Psychological Thrillers
The Cat Who Saw Stars,Lilian Jackson Braun,"Qwill, Koko, and Yum Yum are looking forward to a quiet vacation relaxing on the porch of their cabin, but when a young backpacker is found dead in the woods and the locals believe that UFOs are responsible, the cats know that their relaxing break has been interrupted by a bizarre mystery.",Cozy Mysteries,Action & Psychological Thrillers
The Cat Who Went up the Creek,Lilian Jackson Braun,"Prizewinning reporter Jim Qwilleran and his Siamese cats, Koko and Yum Yum, must solve a complicated caper while on vacation in this charming cozy mystery in the New York Times bestselling Cat Who series. Jim Qwilleran is enjoying his stay at the Nutcracker Inn in Black Creek. His two Siamese, Koko and Yum Yum, don’t seem quite as pleased with the accommodations...though Koko does enjoy keeping a keen eye on the squirrels and other local wildlife. Then, while Koko’s eagerly watching some jumping trout, he spots something else: a body floating downstream. When it’s revealed that the victim was a guest at the inn—and had nuggets of gold hidden in his shoes—Qwill dives into the case. And if he and the cats don’t solve it soon, they’re going to be up the creek without a paddle...",Cozy Mysteries,Action & Psychological Thrillers
The Man in the High Castle,PHILIP K. DICK,"The Man in the High Castle (1962), by Philip K. Dick, is an alternative history novel wherein the Axis Powers won World War II. The story occurs in 1962, fifteen years after the end of the war in 1947, and depicts the political intrigues between Imperial Japan and Nazi Germany as they rule the partitioned United States. The Grasshopper Lies Heavy is a novel-within-the-novel which is an alternative history of the war in which the Allies defeat the Axis. Dick's thematic inspirations include the alternative history of the American Civil War, Bring the Jubilee (1953), by Ward Moore, and the I Ching, a Chinese book of divination that features in the story and the actions of the characters. The Man in the High Castle won the Hugo Award for Best Novel in 1963, and was adapted to television for Amazon Prime Video as The Man in the High Castle in 2015.",Epic Fantasy,Fantasy Literature
Salem's Lot,Stephen King,"Salem's Lot is a 1975 horror novel  by American author Stephen King. It was his second published novel. The story involves a writer named Ben Mears who returns to the town of Jerusalem's Lot (or 'Salem's Lot for short) in Maine, where he lived from the age of five through nine, only to discover that the residents are becoming vampires. The town is revisited in the short stories ""Jerusalem's Lot"" and ""One for the Road"", both from King's story collection Night Shift (1978). The novel was nominated for the World Fantasy Award in 1976 and the Locus Award for the All-Time Best Fantasy Novel in 1987.
In two separate interviews in the 1980s, King said that, of all his books, 'Salem's Lot was his favorite. In his June 1983 Playboy interview, the interviewer mentioned that because it was his favorite, King was planning a sequel, but King has said on his website that because The Dark Tower series already continued the narrative in Wolves of the Calla and Song of Susannah, he felt there was no longer a need for a sequel. In 1987, he told Phil Konstantin in The Highway Patrolman magazine: ""In a way it is my favorite story, mostly because of what it says about small towns. They are kind of a dying organism right now. The story seems sort of down home to me. I have a special cold spot in my heart for it!""
'Salem's Lot has been adapted into a 1979 two-part miniseries directed by Tobe Hooper and a 2004 television miniseries directed by Mikael Salomon. A feature film adaptation, written and directed by Gary Dauberman  and starring Makenzie Leigh, Lewis Pulman, and Spencer Treat Clark, was released on Max in October 3, 2024. 

",Epic Fantasy,Fantasy Literature
Fuzzy Logic Get Fuzzy 2,Darby Conley,"Cats are famous for being aloof, but ""cat-titude"" reaches new heights in Get Fuzzy, the bitingly funny comic strip from cartoonist Darby Conley. Wry and witty, Get Fuzzy is a hilarious portrait of single life with pets. Rob Wilco is the human who heads the household, but it's really Bucky the cat who's in charge. Satchel, the gentle pooch with a sensitive soul who tries to remain neutral, frequently ends up on the receiving end of Bucky's mischief. Together, this trio makes it through the trials and tribulations of daily life as an unlikely team. Darby Conley's Fuzzy Logic will hit the funny bone of everyone who enjoys their pets with an attitude.",Cozy Mysteries,Action & Psychological Thrillers
Waking the Moon,Elizabeth Hand,"Like all new students, Sweeney moves with caution at Washington, D.C.'s University of the Archangel and St. John the Divine. It is a strange place of brooding shrines and gleaming towers, guarded by stone angels. For Sweeney, college is a time to experiment with sex, to explore new friendships. It is a time of freedom and discovery--until she makes the wrong discovery.",Space Adventure,Science Fiction
Gaia: A New Look at Life on Earth,James Lovelock,"In this classic work that continues to inspire many readers, Jim Lovelock puts forward his idea that the Earth functions as a single organism. Written for non-scientists, Gaia is a journey through time and space in search of evidence in support of a radically different model of our planet. In contrast to conventional belief that life is passive in the face of threats to its existence, the book explores the hypothesis that the Earth's living matter influences air, ocean, and rock to form a complex, self-regulating system that has the capacity to keep the Earth a fit place for life. Since Gaia was first published, Jim Lovelock's hypothesis has become a hotly debated topic in scientific circles. In a new Preface to this edition, he outlines his view of the present state of the debate. Oxford Landmark Science books are 'must-read' classics of modern science writing which have crystallized big ideas, and shaped the way we think.",Space Adventure,Science Fiction
Ringworld Engineers,Larry Niven,"To house the dying Earth's inhabitants, a huge architectural ring is constructed in outer space. With gravity, an atmosphere, and a temperate climate, Ringworld gives humanity a new lease on life, but not without frightening consequences.",Space Adventure,Science Fiction
Manifold: Time (Manifold (Paperback)),Stephen Baxter,"Manifold: Time is a 1999 science fiction novel by Stephen Baxter. It is the first of Baxter's Manifold Trilogy (the others being Manifold: Space and Manifold: Origin), although the books can be read in any order because the series takes place in a multiverse.
The book was nominated for the 2000 Arthur C. Clarke Award.",Epic Fantasy,Fantasy Literature
Green Mars,Kim Stanley Robinson,"The Mars trilogy is a series of science fiction novels by Kim Stanley Robinson that chronicles the settlement and terraforming of the planet Mars through the personal and detailed viewpoints of a wide variety of characters spanning 187 years, from 2026 to 2212. Ultimately more utopian than dystopian, the story focuses on egalitarian, sociological, and scientific advances made on Mars, while Earth suffers from overpopulation and ecological disaster.
The three novels are Red Mars (1992), Green Mars (1993), and Blue Mars (1996). The Martians (1999) is a collection of short stories set in the same fictional universe. Red Mars won the BSFA Award in 1992 and Nebula Award for Best Novel in 1993. Green Mars won the Hugo Award for Best Novel and Locus Award for Best Science Fiction Novel in 1994. Blue Mars also won the Hugo and Locus Awards in 1997.
Icehenge (1984), Robinson's first novel about Mars, is not set in this universe but deals with similar themes and plot elements. The trilogy shares some similarities with Robinson's more recent novel 2312 (2012); for instance, the terraforming of Mars and the extreme longevity of the characters in both novels.",Epic Fantasy,Fantasy Literature
"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,"A Clash of Kings is the second of seven planned novels in A Song of Ice and Fire by American author George R. R. Martin, an epic fantasy series. It was first published in the United Kingdom on November 16, 1998; the first United States edition followed on February 2, 1999. Like its predecessor, A Game of Thrones, it won the Locus Award (in 1999) for Best Novel and was nominated for the Nebula Award (also in 1999) for Best Novel. In May 2005, Meisha Merlin released a limited edition of the novel, fully illustrated by John Howe.
The novel has been adapted for television as the second season of the HBO series Game of Thrones.
A Clash of Kings is also the name of the first expansion to the Game of Thrones board game.",Epic Fantasy,Fantasy Literature
Motion to Suppress,PERRI O'SHAUGHNESSY,"Returning from her late shift as a barmaid at a casino in Lake Tahoe, Misty Patterson struck her violently jealous husband in self-defense. She admits that--but did she kill him? She says she can't remember. Like so many times before, Misty blacked out and the rest of the evening is a blank. Now her husband has disappeared, leaving behind a trail of blood, and she's the number-one murder suspect with no one to turn to for help. San Francisco attorney Nina Reilly is also on the run—from a bad marriage and a worse career setback. Relocated to Lake Tahoe, Nina is resolved to recover her spirit, give her young son a secure home, and build up a small solo practice. But, when Misty Patterson walks in the door, a blond Barbie doll of a cocktail waitress accused of murder, it triggers a harrowing series of events that will change both women's lives forever. Common sense says Misty is lying. To win this case Nina will have to trust her own instincts, diving headlong into the dark convolutions of the human mind. This murder case—teeming with sinister secrets, unspoken betrayals, and jolting revelations—is going to change everything Nina Reilly believes about the law. It's going to rock everything Misty believes about herself. And if they can learn to trust each other, it's going to give both women their one and only chance to reclaim their shattered lives. In a spellbinding novel that doesn't let go from the first page until the shocking unforgettable conclusion, Perri O'Shaughnessy delivers an electrifying legal thriller about two women risking all they have for the truth that could cost them their lives—or set them both free.",Murder Mystery,Crime & Detective Fiction
Clear and Present Danger,Tom Clancy,"The sudden and surprising assassination of three American officials inColombia. Many people in many places, moving off on missions they all mistakenly thought theyunderstood. The future was too fearful for contemplation, and beyond the expected finish lineswere things that, once decided, were better left unseen. Tom Clancy's new thriller is based on America's war on drugs . . . and the covert --and shocking -- U. S. response.",Espionage Thriller,Action & Psychological Thrillers
The Sum of All Fears,Tom Clancy,"One terrible act plunges the world into an instant nuclear crisis, and with the American president accused of incompetence, Jack Ryan calls on FBI head Dan Murray to help him avert disaster.",Espionage Thriller,Action & Psychological Thrillers
The Valentine Legacy,Catherine Coulter,Antagonists Jessie Warfield and James Wyndham marry and set off to search for Blackbeard's treasure,Historical Time-Travel Romance,Romance & Relationships
Don't Sweat the Small Stuff with Your Family : Simple Ways to Keep Daily Responsibilities and Household Chaos from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,"Richard Carlson (May 16, 1961 – December 13, 2006) was an American author, psychotherapist, and motivational speaker. His book, Don't Sweat the Small Stuff... and it's all Small Stuff (1997), was USA Today's bestselling book for two consecutive years. and spent over 101 weeks on the New York Times Best Seller list. It was published in 135 countries and translated into Latvian, Polish, Icelandic, Serbian and 26 other languages. Carlson went on to write 20 books.",American Literature & Classic Prose,Literary Classics
The Hobbit,J. R. R. Tolkien,"Celebrating 75 years of one of the world's most treasured classics with an all new trade paperback edition. Repackaged with new cover art. 500,000 first printing.",American Literature & Classic Prose,Literary Classics
Kitchen Privileges : A Memoir,Mary Higgins Clark,"Mary Higgins Clark (born Mary Theresa Eleanor Higgins; December 24, 1927 – January 31, 2020) was an American author of suspense novels. Each of her 51 books was a bestseller in the United States and various European countries, and all of her novels remained in print as of 2015, with her debut suspense novel, Where Are the Children?, in its 75th printing.
Higgins Clark began writing at an early age. After several years working as a secretary and copy editor, she spent a year as a stewardess for Pan-American Airlines before leaving to marry and start a family. She supplemented the family's income by writing short stories. After her husband died in 1964, Higgins Clark worked for many years writing four-minute radio scripts until her agent persuaded her to try writing novels. Her debut novel, a fictionalized account of the life of George Washington, did not sell well, and she decided to exploit her love of mystery/suspense novels. Her suspense novels became very popular, and have sold more than 100 million copies in the United States alone. Her former daughter-in-law Mary Jane Clark is also a writer, as was her daughter Carol Higgins Clark.",American Literature & Classic Prose,Literary Classics
Cat and Mouse,James Patterson,"In this New York Times bestseller, two killers-one operating in America, one in Europe-believe Alex Cross is the only worthy opponent in the deadly game each has planned. Gary Soneji, a dying prison escapee, is looking for revenge on Cross, while another insane killer is pursued by Thomas Augustine Pierce-a brilliant and relentless detective who may even be better than Cross. As the bodies pile up, and Cross is nearly murdered in his own home, the game of cat and mouse leads to one final trap. . . The body count is high, the tension the highest, and the two killers on the loose are watching every move their pursuers make. Who is the cat, and who is the mouse? What and where is the final trap? And who survives?",Espionage Thriller,Action & Psychological Thrillers
Sudden Prey,John Sandford,"After a vicious female bank robber named Candy dies in a shootout with police, her violent associates vow revenge, targeting the loved ones of the police officers involved, and it is up to Lucas Davenport to stop the nightmarish killings. Reissue.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Shattered,Dick Francis,"The accidental death of jockey Martin Stukely implicates his friend Gerard Logan, a glassblower, in a dangerous search for a missing videotape.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Evening Class,Maeve Binchy,The hopes and dreams of a group studying Italian become more than they bargain for over the year.,Russian Literature,Literary Classics
The Sky Is Falling,Sidney Sheldon,"The Sky Is FallingA spellbinding novel of glamour, sex, power,and murder that spans the globe If America had a royal family, the Winthrops would wear the crown. The popular, charismatic Winthrops have captured the imagination of the world with their public service, their enormous charity, and their glamorous lives. But in a single year, all five members of the family are killed in a series of accidents. Dana Evans, a beautiful young anchorwoman with a Washington television network, believes there is something more sinister behind their deaths. She begins an investigation and starts uncovering compelling evidence that she can hardly believe. In her determined pursuit of the truth, Dana never anticipated the cat-and-mouse chase that leads her through a half-dozen countries in search of a remorseless killer. As she closes in on her suspect, the shocking secrets she then unearths place Dana and her young son in dire jeopardy and -- in an unexpected turn of events -- Dana becomes the hunted. Can Dana outwit her pursuers and expose the truth that will astound the world? Readers should prepare themselves for the breathtaking journey through the skillful twists and turns of the plot that are Sidney Sheldon's hallmark. A dynamite thriller filled with all the elements that have made his previous works phenomenal bestsellers, The Sky Is Falling is Sidney Sheldon at his sizzling best.",Murder Mystery,Crime & Detective Fiction
Night Whispers,Judith McNaught,"A policewoman in a small Florida community, Sloan Reynolds knows that her modest upbringing was a long way from the social whirl of Palm Beach, the world inhabited by her father and her sister, Paris. Total strangers to Sloan, they have never tried to contact her â€” until a sudden invitation arrives, to meet them and indulge in the Palm Beach social season.,A woman who values her investigative work, Sloan is unmoved by the long-overdue parental gesture. But when FBI agent Paul Richardson informs her that her father and his associates are suspected of fraud, conspiracy, and murder, Sloan agrees to enter into her father's life â€” while hiding her true profession.,Sloan's on top of her game until she meets Noah Maitland, a multinational corporate player and one of the FBI's prime suspects â€” and finds herself powerfully attracted to him, against her deepest instincts. When a shocking murder shatters the seductive facade of the wealth and glamour surrounding her, Sloan must maneuver through a maze of deceit and passion, to find someone to trust â€” and to decipher the truth behind those terrifying whispers in the dark.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
How to Lose Friends &amp; Alienate People,Toby Young,"In 1995 high-flying British journalist Toby Young left London for New York to become a contributing editor at Vanity Fair. Other Brits had taken Manhattan--Alistair Cooke, Tina Brown, Anna Wintour--so why couldn't he?But things didn't quite go according to plan. Within the space of two years he was fired from Vanity Fair, banned from the most fashionable bar in the city, and couldn't get a date for love or money. Even the local AA group wanted nothing to do with him.How to Lose Friends and Alienate People is Toby Young's hilarious and best-selling account of the five years he spent looking for love in all the wrong places and steadily working his way down the New York food chain, from glossy magazine editor to crash-test dummy for interactive sex toys. A seditious attack on the culture of celebrity from inside the belly of the beast, How to Lose Friends and Alienate People is also a ""nastily funny read."" --USA Today",Humor and Satire,Humor & Satire
The Source,James A. Michener,"In the grand storytelling style that is his signature, James Michener sweeps us back through time to the very beginnings of the Jewish faith, thousands of years ago. Through the predecessors of four modern men and women, we experience the entire colorful history of the Jews, including the life of the early Hebrews and their persecutions, the impact of Christianity, the Crusades, and the Spanish Inquisition, all the way to the founding of present-day Israel and the Middle-East conflict.,""A sweeping chronology filled with excitement."",THE PHILADELPHIA INQUIRER",War & Historical Drama,War & Historical Drama
"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,"After his confrontation with the man in black at the end of The Gunslinger , Roland awakes to find three doors on the beach of Mid-World's Western Sea-each leading to New York City but at three different moments in time. Through these doors, Roland must ""draw"" three figures crucial to his quest for the Dark Tower. In 1987, he finds Eddie Dean, The Prisoner, a heroin addict. In 1964, he meets Odetta Holmes, the Lady of Shadows, a young African-American heiress who lost her lower legs in a subway accident and gained a second personality that rages within her. And in 1977, he encounters Jack mort, Death, a pusher responsible for cruelties beyond imagining. Has Roland found new companions to form the ka-tet of his quest? Or has he unleashed something else entirely?",Crime Thrillers and Detective Drama,Crime & Detective Fiction
